Date,Tech_index,Non_tech_index
2007-02-07,1104.869995,1141.079956
2007-02-08,1104.780029,1141.390015
2007-02-09,1086.47998,1126.930054
2007-02-12,1080.76001,1121.22998
2007-02-13,1082.949951,1126.880005
2007-02-14,1103.76001,1146.130005
2007-02-15,1111.050049,1149.5
2007-02-16,1108.530029,1148.890015
2007-02-20,1114.930054,1162.060059
2007-02-21,1113.650024,1164.030029
2007-02-22,1121.680054,1164.140015
2007-02-23,1120.290039,1158.47998
2007-02-26,null,null
2007-02-27,1069.98999,1111.939941
2007-02-28,1075.540039,1109
2007-03-01,1068.859985,1100.98999
2007-03-02,1050.849976,1083.180054
2007-03-05,1039.430054,1071.300049
2007-03-06,1058.73999,1089.349976
2007-03-07,1051.390015,1089.52002
2007-03-08,1062.02002,1096.209961
2007-03-09,1063.709961,1096.180054
2007-03-12,1072.25,1100.430054
2007-03-13,1048.790039,1076.219971
2007-03-14,1060.089966,1081.119995
2007-03-15,1060.140015,1085.75
2007-03-16,1057.930054,1082.47998
2007-03-19,1063.48999,1097.089966
2007-03-20,1072.310059,1103.48999
2007-03-21,1099.369995,1122.650024
2007-03-22,1091.800049,1121.800049
2007-03-23,1090.959961,1122.420044
2007-03-26,1096.469971,1121.810059
2007-03-27,1087.209961,1115.219971
2007-03-28,1071.73999,1106.930054
2007-03-29,1067.52002,1112.22998
2007-03-30,1068.920044,1111.98999
2007-04-02,1067.469971,1113.300049
2007-04-03,1079.22998,1128.099976
2007-04-04,1085.349976,1126.859985
2007-04-05,1093.280029,1137.26001
2007-04-09,1090.650024,1136.900024
2007-04-10,1098.530029,1142.660034
2007-04-11,1088.170044,1131.069946
2007-04-12,1097.109985,1147.560059
2007-04-13,1099.619995,1152.430054
2007-04-16,1109.380005,1164.790039
2007-04-17,1108.719971,1164.569946
2007-04-18,1112.560059,1161.949951
2007-04-19,1110.869995,1159.060059
2007-04-20,1115.060059,1168.130005
2007-04-23,1114.030029,1175.800049
2007-04-24,1126.109985,1177.130005
2007-04-25,1133.099976,1195.27002
2007-04-26,1137.839966,1197.579956
2007-04-27,1134.339966,1195.359985
2007-04-30,1119.839966,1176.689941
2007-05-01,1122.48999,1182.109985
2007-05-02,1130.109985,1195.349976
2007-05-03,1135.540039,1196.26001
2007-05-04,1142.160034,1193.849976
2007-05-07,1139.02002,1191.560059
2007-05-08,1140.97998,1190.890015
2007-05-09,1149.099976,1194.73999
2007-05-10,1130.109985,1171.219971
2007-05-11,1147.410034,1182.52002
2007-05-14,1140.199951,1174.819946
2007-05-15,1126.140015,1168.849976
2007-05-16,1136.150024,1181.22998
2007-05-17,1130.699951,1175.47998
2007-05-18,1139.689941,1182.719971
2007-05-21,1144.089966,1196.319946
2007-05-22,1148.52002,1196.130005
2007-05-23,1137.099976,1196.920044
2007-05-24,1115,1183.349976
2007-05-25,1125.369995,1187.25
2007-05-29,1134.140015,1191.48999
2007-05-30,1141.98999,1204.410034
2007-05-31,1151.97998,1207.959961
2007-06-01,1155.109985,1211.660034
2007-06-04,1159.72998,1210.939941
2007-06-05,1158.130005,1203.98999
2007-06-06,1148.180054,1189.26001
2007-06-07,1126.920044,1167.459961
2007-06-08,1146.530029,1178.25
2007-06-11,1148,1182.280029
2007-06-12,1140.719971,1172.670044
2007-06-13,1156.75,1189.22998
2007-06-14,1163.780029,null
2007-06-15,1174.23999,1205.819946
2007-06-18,1174.699951,1198.390015
2007-06-19,1172.25,1201.48999
2007-06-20,1161.380005,1189.910034
2007-06-21,1180.589966,1196.140015
2007-06-22,1169.069946,1188.069946
2007-06-25,1157.560059,1184.319946
2007-06-26,1154.780029,1183.400024
2007-06-27,1171.959961,1197.530029
2007-06-28,1172.76001,1197.170044
2007-06-29,1173.349976,1194.630005
2007-07-02,1183.369995,1211.01001
2007-07-03,1186.130005,1212.01001
2007-07-05,1195.189941,1216.900024
